name,image1,image2,price,link,product_type
Reeva Silk White Kurta Set,https://bulbulfashions.com/cdn/shop/files/30.jpg?v=1750837315&width=533,https://bulbulfashions.com/cdn/shop/files/31_7f1c6ee2-2dc5-47ca-a5c9-ddc44b780679.jpg?v=1750837316&width=533,"₹2,299INR",https://bulbulfashions.com/products/reeva-white-kurta-set,dresses
Tanya Silk Purple Kurta Set,https://bulbulfashions.com/cdn/shop/files/48.jpg?v=1750837345&width=533,https://bulbulfashions.com/cdn/shop/files/49.jpg?v=1750837345&width=533,"₹2,299INR",https://bulbulfashions.com/products/tanya-purple-kurta-set,dresses
Tanya Silk Pink Kurta Set,https://bulbulfashions.com/cdn/shop/files/45.jpg?v=1750837333&width=533,https://bulbulfashions.com/cdn/shop/files/44.jpg?v=1750837334&width=533,"₹2,299INR",https://bulbulfashions.com/products/tanya-pink-kurta-set,dresses
Arwa Silk Black Kurta Set,https://bulbulfashions.com/cdn/shop/files/38.jpg?v=1750837144&width=533,https://bulbulfashions.com/cdn/shop/files/39.jpg?v=1750837145&width=533,"₹2,299INR",https://bulbulfashions.com/products/arwa-black-kurta-set,dresses
Arwa Silk Brown Kurta Set,https://bulbulfashions.com/cdn/shop/files/42.jpg?v=1750837154&width=533,https://bulbulfashions.com/cdn/shop/files/43.jpg?v=1750837155&width=533,"₹2,299INR",https://bulbulfashions.com/products/arwa-brown-kurta-set,dresses
Rashmika Cotton Black Kurta Set,https://bulbulfashions.com/cdn/shop/files/VS_4519_copy.jpg?v=1750837060&width=533,https://bulbulfashions.com/cdn/shop/files/1_a4c441c7-36cc-4168-aae7-3cac9001cfbb.jpg?v=1750837061&width=533,"₹1,599INR",https://bulbulfashions.com/products/rashmika-black-kurta-set,dresses
Meenaxi Rust Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC08704.jpg?v=1750837259&width=533,https://bulbulfashions.com/cdn/shop/files/DSC08705.jpg?v=1750837261&width=533,"₹1,399INR",https://bulbulfashions.com/products/des-bb-meenaxi-rust,dresses
Meenaxi Beige Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC08693.jpg?v=1750837255&width=533,https://bulbulfashions.com/cdn/shop/files/DSC08694.jpg?v=1750837257&width=533,"₹1,399INR",https://bulbulfashions.com/products/des-bb-meenaxi-beige,dresses
Arushi Rayon Pink Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC08677.jpg?v=1750837141&width=533,https://bulbulfashions.com/cdn/shop/files/DSC08681.jpg?v=1750837143&width=533,"₹1,399INR",https://bulbulfashions.com/products/arushi-pink-kurta-set,dresses
Arushi Black Rayon Kurta Set,https://bulbulfashions.com/cdn/shop/files/DSC08663.jpg?v=1750837138&width=533,https://bulbulfashions.com/cdn/shop/files/DSC08670.jpg?v=1750837139&width=533,"₹1,399INR",https://bulbulfashions.com/products/arushi-black-kurta-set,dresses
Sakina Cotton Purple Kurta Set,https://bulbulfashions.com/cdn/shop/files/44A9013-2.jpg?v=1750837327&width=533,https://bulbulfashions.com/cdn/shop/files/44A9017-2.jpg?v=1750837327&width=533,"₹1,599INR",https://bulbulfashions.com/products/sakina-purple-kurta-set,dresses
