name,image,price,product_link,product_type
Embroidered Metallic Sleeveless Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T53_2586U_Y4_X_EC_0","₹4,499.00",/embroidered-metallic-sleeveless-top/p/P60761073.html,tops
Cotton Blend Lace High Neck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_4098J_Y0_X_EC_0","₹2,342.81",/cotton-blend-lace-high-neck-top/p/P60761701.html,tops
Cotton Rich Sparkly Vest,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_5078C_Y0_X_EC_0","₹1,039.20",/cotton-rich-sparkly-vest/p/P60760068.html,tops
Floral Regular Fit Puff Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3907T_Y8_X_EC_0","₹1,199.40",/floral-regular-fit-puff-sleeve-top/p/P60728521.html,tops
Linen Rich Sweetheart Neck Cami Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_3563_V6_X_EC_0","₹1,799.40",/linen-rich-sweetheart-neck-cami-top/p/P60721435.html,tops
Cloud-Yarn Pocket Crew Neck Knitted Waistcoat,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_9050_K0_X_EC_0","₹2,342.81",/cloud-yarn-pocket-crew-neck-knitted-waistcoat/p/P60741389.html,tops
Lyocell Rich Button Through Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_4194W_N7_X_EC_0","₹1,874.06",/lyocell-rich-button-through-shirt/p/P60734994.html,tops
Pure Cashmere Crew Neck Relaxed Cardigan,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_3692_FN_X_EC_0","₹12,999.00",/pure-cashmere-crew-neck-relaxed-cardigan/p/P60714750.html,tops
Pure Cotton Graphic Oversized T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_2214C_N4_X_EC_0","₹1,199.40",/pure-cotton-graphic-oversized-t-shirt/p/P60723106.html,tops
High Neck Cutwork Puff Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3903T_KY_X_EC_0","₹3,499.00",/high-neck-cutwork-puff-sleeve-top/p/P60728371.html,tops
